Airport Name,Year,City,Airport ID,Measure,Value
The Eastern Iowa,2011,Cedar Rapids,CID,All-cargo operations landed weight (thousands of short tons),105
Syracuse Hancock International,2011,Syracuse,SYR,All-cargo operations landed weight (thousands of short tons),158
Charleston AFB/International,2011,Charleston,CHS,All-cargo operations landed weight (thousands of short tons),147
Boise Air Terminal/Gowen Field,2011,Boise,BOI,All-cargo operations landed weight (thousands of short tons),162
Buffalo Niagara International,2011,Buffalo,BUF,All-cargo operations landed weight (thousands of short tons),146
Nashville International,2011,Nashville,BNA,All-cargo operations landed weight (thousands of short tons),131
Shreveport Regional,2011,Shreveport,SHV,All-cargo operations landed weight (thousands of short tons),147
Ellison Onizuka Kona International at Keahole,2011,Kailua Kona,KOA,All-cargo operations landed weight (thousands of short tons),103
McGhee Tyson,2011,Alcoa,TYS,All-cargo operations landed weight (thousands of short tons),156
Hector International,2011,Fargo,FAR,All-cargo operations landed weight (thousands of short tons),13
Greater Rochester International,2011,Rochester,ROC,All-cargo operations landed weight (thousands of short tons),129
Stockton Metropolitan,2011,Stockton,SCK,All-cargo operations landed weight (thousands of short tons),0
Des Moines International,2011,Des Moines,DSM,All-cargo operations landed weight (thousands of short tons),213
Will Rogers World,2011,Oklahoma City,OKC,All-cargo operations landed weight (thousands of short tons),107
Kahului,2011,Kahului,OGG,All-cargo operations landed weight (thousands of short tons),112
Norman Y Mineta San Jose International,2011,San Jose,SJC,All-cargo operations landed weight (thousands of short tons),151
Theodore Francis Green State,2011,Warwick,PVD,All-cargo operations landed weight (thousands of short tons),49
Wichita Dwight D Eisenhower National,2011,Wichita,ICT,All-cargo operations landed weight (thousands of short tons),101
Gerald R Ford International,2011,Grand Rapids,GRR,All-cargo operations landed weight (thousands of short tons),113
Willow Run,2011,Detroit,YIP,All-cargo operations landed weight (thousands of short tons),123
Norfolk International,2011,Norfolk,ORF,All-cargo operations landed weight (thousands of short tons),107
Capital Region International,2011,Clinton (Township of),LAN,All-cargo operations landed weight (thousands of short tons),60
Fort Wayne International,2011,Fort Wayne,FWA,All-cargo operations landed weight (thousands of short tons),85
Hilo International,2011,Hilo,ITO,All-cargo operations landed weight (thousands of short tons),104
Guam International,2011,Tamuning,GUM,All-cargo operations landed weight (thousands of short tons),31
Great Falls International,2011,Great Falls,GTF,All-cargo operations landed weight (thousands of short tons),77
Southwest Georgia Regional,2011,Albany,ABY,All-cargo operations landed weight (thousands of short tons),82
Southwest Florida International,2011,Fort Myers,RSW,All-cargo operations landed weight (thousands of short tons),65
Birmingham-Shuttlesworth International,2011,Birmingham,BHM,All-cargo operations landed weight (thousands of short tons),78
New York Stewart International,2011,Newburgh,SWF,All-cargo operations landed weight (thousands of short tons),65
Albany International,2011,Albany,ALB,All-cargo operations landed weight (thousands of short tons),82
Long Beach /Daugherty Field/,2011,Long Beach,LGB,All-cargo operations landed weight (thousands of short tons),88
Mobile Downtown,2011,Mobile,BFM,All-cargo operations landed weight (thousands of short tons),95
Tucson International,2011,Tucson,TUS,All-cargo operations landed weight (thousands of short tons),75
Springfield-Branson National,2011,Springfield,SGF,All-cargo operations landed weight (thousands of short tons),95
Roanoke-Blacksburg Regional/Woodrum Field,2011,Roanoke,ROA,All-cargo operations landed weight (thousands of short tons),60
Bill and Hillary Clinton National/Adams Field,2011,Little Rock,LIT,All-cargo operations landed weight (thousands of short tons),74
Lihue,2011,Lihue,LIH,All-cargo operations landed weight (thousands of short tons),44
Toledo Express,2011,Toledo,TOL,All-cargo operations landed weight (thousands of short tons),325
Fresno Yosemite International,2011,Fresno,FAT,All-cargo operations landed weight (thousands of short tons),53
General Downing - Peoria International,2011,Peoria,PIA,All-cargo operations landed weight (thousands of short tons),75
Fairbanks International,2011,Fairbanks,FAI,All-cargo operations landed weight (thousands of short tons),61
City of Colorado Springs Municipal,2011,Colorado Springs,COS,All-cargo operations landed weight (thousands of short tons),54
Bishop International,2011,Flint,FNT,All-cargo operations landed weight (thousands of short tons),37
Jackson-Medgar Wiley Evers International,2011,Jackson,JAN,All-cargo operations landed weight (thousands of short tons),36
James M Cox Dayton International,2011,Dayton,DAY,All-cargo operations landed weight (thousands of short tons),22
March ARB,2011,Riverside,RIV,All-cargo operations landed weight (thousands of short tons),0
Bangor International,2011,Bangor,BGR,All-cargo operations landed weight (thousands of short tons),68
Brownsville/South Padre Island International,2011,Brownsville,BRO,All-cargo operations landed weight (thousands of short tons),10
Grand Forks International,2011,Grand Forks,GFK,All-cargo operations landed weight (thousands of short tons),74
Gallup Municipal,2011,Gallup,GUP,All-cargo operations landed weight (thousands of short tons),2
Portsmouth International at Pease,2011,Portsmouth,PSM,All-cargo operations landed weight (thousands of short tons),9
Tucumcari Municipal,2011,Tucumcari,TCC,All-cargo operations landed weight (thousands of short tons),1
South Bend International,2011,South Bend,SBN,All-cargo operations landed weight (thousands of short tons),0
St Pete-Clearwater International,2011,Clearwater,PIE,All-cargo operations landed weight (thousands of short tons),66
Memphis International,2012,Memphis,MEM,All-cargo operations landed weight (thousands of short tons),"10,492"
Ted Stevens Anchorage International,2012,Anchorage,ANC,All-cargo operations landed weight (thousands of short tons),"8,261"
Louisville Muhammad Ali International,2012,Louisville,SDF,All-cargo operations landed weight (thousands of short tons),"5,548"
Miami International,2012,Miami,MIA,All-cargo operations landed weight (thousands of short tons),"3,574"
Los Angeles International,2012,Los Angeles,LAX,All-cargo operations landed weight (thousands of short tons),"2,102"
Cincinnati/Northern Kentucky International,2012,Cincinnati,CVG,All-cargo operations landed weight (thousands of short tons),"1,594"
Chicago O'Hare International,2012,Chicago,ORD,All-cargo operations landed weight (thousands of short tons),"2,278"
Indianapolis International,2012,Indianapolis,IND,All-cargo operations landed weight (thousands of short tons),"2,470"
Dallas-Fort Worth International,2012,Fort Worth,DFW,All-cargo operations landed weight (thousands of short tons),"1,544"
Ontario International,2012,Ontario,ONT,All-cargo operations landed weight (thousands of short tons),"1,181"
Metropolitan Oakland International,2012,Oakland,OAK,All-cargo operations landed weight (thousands of short tons),"1,323"
John F Kennedy International,2012,New York,JFK,All-cargo operations landed weight (thousands of short tons),"1,747"
Hartsfield - Jackson Atlanta International,2012,Atlanta,ATL,All-cargo operations landed weight (thousands of short tons),"1,014"
Newark Liberty International,2012,Newark,EWR,All-cargo operations landed weight (thousands of short tons),"1,427"
Daniel K Inouye International,2012,Honolulu,HNL,All-cargo operations landed weight (thousands of short tons),988
Seattle-Tacoma International,2012,Seattle,SEA,All-cargo operations landed weight (thousands of short tons),645
Philadelphia International,2012,Philadelphia,PHL,All-cargo operations landed weight (thousands of short tons),942
George Bush Intercontinental/Houston,2012,Houston,IAH,All-cargo operations landed weight (thousands of short tons),788
Chicago/Rockford International,2012,Rockford,RFD,All-cargo operations landed weight (thousands of short tons),411
Phoenix Sky Harbor International,2012,Phoenix,PHX,All-cargo operations landed weight (thousands of short tons),650
Portland International,2012,Portland,PDX,All-cargo operations landed weight (thousands of short tons),581
Denver International,2012,Denver,DEN,All-cargo operations landed weight (thousands of short tons),602
Tampa International,2012,Tampa,TPA,All-cargo operations landed weight (thousands of short tons),156
Luis Munoz Marin International,2012,San Juan,SJU,All-cargo operations landed weight (thousands of short tons),425
Baltimore/Washington International Thurgood Marshall,2012,Glen Burnie,BWI,All-cargo operations landed weight (thousands of short tons),244
Rickenbacker International,2012,Columbus,LCK,All-cargo operations landed weight (thousands of short tons),347
Salt Lake City International,2012,Salt Lake City,SLC,All-cargo operations landed weight (thousands of short tons),438
Minneapolis-St Paul International/Wold-Chamberlain,2012,Minneapolis,MSP,All-cargo operations landed weight (thousands of short tons),438
San Francisco International,2012,San Francisco,SFO,All-cargo operations landed weight (thousands of short tons),599
Orlando International,2012,Orlando,MCO,All-cargo operations landed weight (thousands of short tons),363
General Edward Lawrence Logan International,2012,Boston,BOS,All-cargo operations landed weight (thousands of short tons),390
Bradley International,2012,Windsor Locks,BDL,All-cargo operations landed weight (thousands of short tons),364
San Antonio International,2012,San Antonio,SAT,All-cargo operations landed weight (thousands of short tons),405
Fort Worth Alliance,2012,Fort Worth,AFW,All-cargo operations landed weight (thousands of short tons),317
Detroit Metropolitan Wayne County,2012,Detroit,DTW,All-cargo operations landed weight (thousands of short tons),333
Boeing Field/King County International,2012,Seattle,BFI,All-cargo operations landed weight (thousands of short tons),396
Sacramento International,2012,Sacramento,SMF,All-cargo operations landed weight (thousands of short tons),144
El Paso International,2012,El Paso,ELP,All-cargo operations landed weight (thousands of short tons),277
Piedmont Triad International,2012,Greensboro,GSO,All-cargo operations landed weight (thousands of short tons),303
Laredo International,2012,Laredo,LRD,All-cargo operations landed weight (thousands of short tons),232
Charlotte/Douglas International,2012,Charlotte,CLT,All-cargo operations landed weight (thousands of short tons),175
General Mitchell International,2012,Milwaukee,MKE,All-cargo operations landed weight (thousands of short tons),222
San Diego International,2012,San Diego,SAN,All-cargo operations landed weight (thousands of short tons),341
Kansas City International,2012,Kansas City,MCI,All-cargo operations landed weight (thousands of short tons),214
Pittsburgh International,2012,Pittsburgh,PIT,All-cargo operations landed weight (thousands of short tons),197
Albuquerque International Sunport,2012,Albuquerque,ABQ,All-cargo operations landed weight (thousands of short tons),284
Sacramento Mather,2012,Sacramento,MHR,All-cargo operations landed weight (thousands of short tons),170
Reno/Tahoe International,2012,Reno,RNO,All-cargo operations landed weight (thousands of short tons),219
Manchester,2012,Manchester,MHT,All-cargo operations landed weight (thousands of short tons),260
Austin-Bergstrom International,2012,Austin,AUS,All-cargo operations landed weight (thousands of short tons),210
Richmond International,2012,Highland Springs,RIC,All-cargo operations landed weight (thousands of short tons),184
Raleigh-Durham International,2012,Raleigh,RDU,All-cargo operations landed weight (thousands of short tons),191
Rafael Hernandez,2012,Aguadilla,BQN,All-cargo operations landed weight (thousands of short tons),411
Jacksonville International,2012,Jacksonville,JAX,All-cargo operations landed weight (thousands of short tons),195
Washington Dulles International,2012,Dulles,IAD,All-cargo operations landed weight (thousands of short tons),233
Fort Lauderdale/Hollywood International,2012,Fort Lauderdale,FLL,All-cargo operations landed weight (thousands of short tons),224
Spokane International,2012,Spokane,GEG,All-cargo operations landed weight (thousands of short tons),220
Greenville Spartanburg International,2012,Greer,GSP,All-cargo operations landed weight (thousands of short tons),102
Huntsville International-Carl T Jones Field,2012,Huntsville,HSV,All-cargo operations landed weight (thousands of short tons),219
Columbia Metropolitan,2012,Columbia,CAE,All-cargo operations landed weight (thousands of short tons),191
Eppley Airfield,2012,Omaha,OMA,All-cargo operations landed weight (thousands of short tons),199
Harrisburg International,2012,Harrisburg,MDT,All-cargo operations landed weight (thousands of short tons),169
Tulsa International,2012,Tulsa,TUL,All-cargo operations landed weight (thousands of short tons),158
Cleveland-Hopkins International,2012,Cleveland,CLE,All-cargo operations landed weight (thousands of short tons),178
McCarran International,2012,Las Vegas,LAS,All-cargo operations landed weight (thousands of short tons),185
Louis Armstrong New Orleans International,2012,Metairie,MSY,All-cargo operations landed weight (thousands of short tons),151
Lubbock Preston Smith International,2012,Lubbock,LBB,All-cargo operations landed weight (thousands of short tons),111
St Louis Lambert International,2012,St. Louis,STL,All-cargo operations landed weight (thousands of short tons),175
Valley International,2012,Harlingen,HRL,All-cargo operations landed weight (thousands of short tons),117
Joe Foss Field,2012,Sioux Falls,FSD,All-cargo operations landed weight (thousands of short tons),72
The Eastern Iowa,2012,Cedar Rapids,CID,All-cargo operations landed weight (thousands of short tons),125
Syracuse Hancock International,2012,Syracuse,SYR,All-cargo operations landed weight (thousands of short tons),158
Charleston AFB/International,2012,Charleston,CHS,All-cargo operations landed weight (thousands of short tons),129
Boise Air Terminal/Gowen Field,2012,Boise,BOI,All-cargo operations landed weight (thousands of short tons),160
Buffalo Niagara International,2012,Buffalo,BUF,All-cargo operations landed weight (thousands of short tons),147
Nashville International,2012,Nashville,BNA,All-cargo operations landed weight (thousands of short tons),117
Shreveport Regional,2012,Shreveport,SHV,All-cargo operations landed weight (thousands of short tons),133
Ellison Onizuka Kona International at Keahole,2012,Kailua Kona,KOA,All-cargo operations landed weight (thousands of short tons),93
McGhee Tyson,2012,Alcoa,TYS,All-cargo operations landed weight (thousands of short tons),157
Hector International,2012,Fargo,FAR,All-cargo operations landed weight (thousands of short tons),0
Greater Rochester International,2012,Rochester,ROC,All-cargo operations landed weight (thousands of short tons),131
Stockton Metropolitan,2012,Stockton,SCK,All-cargo operations landed weight (thousands of short tons),0
Des Moines International,2012,Des Moines,DSM,All-cargo operations landed weight (thousands of short tons),216
Will Rogers World,2012,Oklahoma City,OKC,All-cargo operations landed weight (thousands of short tons),107
Kahului,2012,Kahului,OGG,All-cargo operations landed weight (thousands of short tons),114
Norman Y Mineta San Jose International,2012,San Jose,SJC,All-cargo operations landed weight (thousands of short tons),128
Theodore Francis Green State,2012,Warwick,PVD,All-cargo operations landed weight (thousands of short tons),52
Wichita Dwight D Eisenhower National,2012,Wichita,ICT,All-cargo operations landed weight (thousands of short tons),100
Gerald R Ford International,2012,Grand Rapids,GRR,All-cargo operations landed weight (thousands of short tons),113
Willow Run,2012,Detroit,YIP,All-cargo operations landed weight (thousands of short tons),109
Norfolk International,2012,Norfolk,ORF,All-cargo operations landed weight (thousands of short tons),111
Capital Region International,2012,Clinton (Township of),LAN,All-cargo operations landed weight (thousands of short tons),69
Fort Wayne International,2012,Fort Wayne,FWA,All-cargo operations landed weight (thousands of short tons),89
Hilo International,2012,Hilo,ITO,All-cargo operations landed weight (thousands of short tons),96
Guam International,2012,Tamuning,GUM,All-cargo operations landed weight (thousands of short tons),45
Great Falls International,2012,Great Falls,GTF,All-cargo operations landed weight (thousands of short tons),78
Southwest Georgia Regional,2012,Albany,ABY,All-cargo operations landed weight (thousands of short tons),79
Southwest Florida International,2012,Fort Myers,RSW,All-cargo operations landed weight (thousands of short tons),60
Birmingham-Shuttlesworth International,2012,Birmingham,BHM,All-cargo operations landed weight (thousands of short tons),85
New York Stewart International,2012,Newburgh,SWF,All-cargo operations landed weight (thousands of short tons),69
Albany International,2012,Albany,ALB,All-cargo operations landed weight (thousands of short tons),81
Long Beach /Daugherty Field/,2012,Long Beach,LGB,All-cargo operations landed weight (thousands of short tons),80
Mobile Downtown,2012,Mobile,BFM,All-cargo operations landed weight (thousands of short tons),66
Tucson International,2012,Tucson,TUS,All-cargo operations landed weight (thousands of short tons),80
Springfield-Branson National,2012,Springfield,SGF,All-cargo operations landed weight (thousands of short tons),101
Roanoke-Blacksburg Regional/Woodrum Field,2012,Roanoke,ROA,All-cargo operations landed weight (thousands of short tons),61
Bill and Hillary Clinton National/Adams Field,2012,Little Rock,LIT,All-cargo operations landed weight (thousands of short tons),73
Lihue,2012,Lihue,LIH,All-cargo operations landed weight (thousands of short tons),48
Toledo Express,2012,Toledo,TOL,All-cargo operations landed weight (thousands of short tons),61
Fresno Yosemite International,2012,Fresno,FAT,All-cargo operations landed weight (thousands of short tons),50
General Downing - Peoria International,2012,Peoria,PIA,All-cargo operations landed weight (thousands of short tons),98
Fairbanks International,2012,Fairbanks,FAI,All-cargo operations landed weight (thousands of short tons),67
City of Colorado Springs Municipal,2012,Colorado Springs,COS,All-cargo operations landed weight (thousands of short tons),53
Bishop International,2012,Flint,FNT,All-cargo operations landed weight (thousands of short tons),31
Jackson-Medgar Wiley Evers International,2012,Jackson,JAN,All-cargo operations landed weight (thousands of short tons),56
James M Cox Dayton International,2012,Dayton,DAY,All-cargo operations landed weight (thousands of short tons),22
March ARB,2012,Riverside,RIV,All-cargo operations landed weight (thousands of short tons),0
Bangor International,2012,Bangor,BGR,All-cargo operations landed weight (thousands of short tons),41
Brownsville/South Padre Island International,2012,Brownsville,BRO,All-cargo operations landed weight (thousands of short tons),9
Grand Forks International,2012,Grand Forks,GFK,All-cargo operations landed weight (thousands of short tons),78
Gallup Municipal,2012,Gallup,GUP,All-cargo operations landed weight (thousands of short tons),2
Portsmouth International at Pease,2012,Portsmouth,PSM,All-cargo operations landed weight (thousands of short tons),6
Tucumcari Municipal,2012,Tucumcari,TCC,All-cargo operations landed weight (thousands of short tons),1
South Bend International,2012,South Bend,SBN,All-cargo operations landed weight (thousands of short tons),43
St Pete-Clearwater International,2012,Clearwater,PIE,All-cargo operations landed weight (thousands of short tons),64
Memphis International,2013,Memphis,MEM,All-cargo operations landed weight (thousands of short tons),"10,946"
Ted Stevens Anchorage International,2013,Anchorage,ANC,All-cargo operations landed weight (thousands of short tons),"7,991"
Louisville Muhammad Ali International,2013,Louisville,SDF,All-cargo operations landed weight (thousands of short tons),"5,632"
Miami International,2013,Miami,MIA,All-cargo operations landed weight (thousands of short tons),"3,424"
Los Angeles International,2013,Los Angeles,LAX,All-cargo operations landed weight (thousands of short tons),"2,100"
Cincinnati/Northern Kentucky International,2013,Cincinnati,CVG,All-cargo operations landed weight (thousands of short tons),"1,711"
Chicago O'Hare International,2013,Chicago,ORD,All-cargo operations landed weight (thousands of short tons),"3,432"
Indianapolis International,2013,Indianapolis,IND,All-cargo operations landed weight (thousands of short tons),"2,634"
Dallas-Fort Worth International,2013,Fort Worth,DFW,All-cargo operations landed weight (thousands of short tons),"1,531"
Ontario International,2013,Ontario,ONT,All-cargo operations landed weight (thousands of short tons),"1,186"
Metropolitan Oakland International,2013,Oakland,OAK,All-cargo operations landed weight (thousands of short tons),"1,362"
John F Kennedy International,2013,New York,JFK,All-cargo operations landed weight (thousands of short tons),"1,686"
Hartsfield - Jackson Atlanta International,2013,Atlanta,ATL,All-cargo operations landed weight (thousands of short tons),"1,094"
Newark Liberty International,2013,Newark,EWR,All-cargo operations landed weight (thousands of short tons),"1,267"
Daniel K Inouye International,2013,Honolulu,HNL,All-cargo operations landed weight (thousands of short tons),"1,058"
Seattle-Tacoma International,2013,Seattle,SEA,All-cargo operations landed weight (thousands of short tons),693
Philadelphia International,2013,Philadelphia,PHL,All-cargo operations landed weight (thousands of short tons),942
George Bush Intercontinental/Houston,2013,Houston,IAH,All-cargo operations landed weight (thousands of short tons),852
Chicago/Rockford International,2013,Rockford,RFD,All-cargo operations landed weight (thousands of short tons),396
Phoenix Sky Harbor International,2013,Phoenix,PHX,All-cargo operations landed weight (thousands of short tons),688
Portland International,2013,Portland,PDX,All-cargo operations landed weight (thousands of short tons),569
Denver International,2013,Denver,DEN,All-cargo operations landed weight (thousands of short tons),630
Tampa International,2013,Tampa,TPA,All-cargo operations landed weight (thousands of short tons),187
Luis Munoz Marin International,2013,San Juan,SJU,All-cargo operations landed weight (thousands of short tons),424
Baltimore/Washington International Thurgood Marshall,2013,Glen Burnie,BWI,All-cargo operations landed weight (thousands of short tons),247
Rickenbacker International,2013,Columbus,LCK,All-cargo operations landed weight (thousands of short tons),348
Salt Lake City International,2013,Salt Lake City,SLC,All-cargo operations landed weight (thousands of short tons),467
Minneapolis-St Paul International/Wold-Chamberlain,2013,Minneapolis,MSP,All-cargo operations landed weight (thousands of short tons),366
San Francisco International,2013,San Francisco,SFO,All-cargo operations landed weight (thousands of short tons),596
Orlando International,2013,Orlando,MCO,All-cargo operations landed weight (thousands of short tons),349
General Edward Lawrence Logan International,2013,Boston,BOS,All-cargo operations landed weight (thousands of short tons),433
Bradley International,2013,Windsor Locks,BDL,All-cargo operations landed weight (thousands of short tons),387
San Antonio International,2013,San Antonio,SAT,All-cargo operations landed weight (thousands of short tons),369
Fort Worth Alliance,2013,Fort Worth,AFW,All-cargo operations landed weight (thousands of short tons),318
Detroit Metropolitan Wayne County,2013,Detroit,DTW,All-cargo operations landed weight (thousands of short tons),341
Boeing Field/King County International,2013,Seattle,BFI,All-cargo operations landed weight (thousands of short tons),380
Sacramento International,2013,Sacramento,SMF,All-cargo operations landed weight (thousands of short tons),146
El Paso International,2013,El Paso,ELP,All-cargo operations landed weight (thousands of short tons),240
Piedmont Triad International,2013,Greensboro,GSO,All-cargo operations landed weight (thousands of short tons),303
Laredo International,2013,Laredo,LRD,All-cargo operations landed weight (thousands of short tons),196
Charlotte/Douglas International,2013,Charlotte,CLT,All-cargo operations landed weight (thousands of short tons),177
General Mitchell International,2013,Milwaukee,MKE,All-cargo operations landed weight (thousands of short tons),243
San Diego International,2013,San Diego,SAN,All-cargo operations landed weight (thousands of short tons),339
Kansas City International,2013,Kansas City,MCI,All-cargo operations landed weight (thousands of short tons),244
Pittsburgh International,2013,Pittsburgh,PIT,All-cargo operations landed weight (thousands of short tons),199
Albuquerque International Sunport,2013,Albuquerque,ABQ,All-cargo operations landed weight (thousands of short tons),284
Sacramento Mather,2013,Sacramento,MHR,All-cargo operations landed weight (thousands of short tons),177
Reno/Tahoe International,2013,Reno,RNO,All-cargo operations landed weight (thousands of short tons),214
Manchester,2013,Manchester,MHT,All-cargo operations landed weight (thousands of short tons),257
Austin-Bergstrom International,2013,Austin,AUS,All-cargo operations landed weight (thousands of short tons),221
Richmond International,2013,Highland Springs,RIC,All-cargo operations landed weight (thousands of short tons),198
Raleigh-Durham International,2013,Raleigh,RDU,All-cargo operations landed weight (thousands of short tons),205
Rafael Hernandez,2013,Aguadilla,BQN,All-cargo operations landed weight (thousands of short tons),358
Jacksonville International,2013,Jacksonville,JAX,All-cargo operations landed weight (thousands of short tons),196
Washington Dulles International,2013,Dulles,IAD,All-cargo operations landed weight (thousands of short tons),239
Fort Lauderdale/Hollywood International,2013,Fort Lauderdale,FLL,All-cargo operations landed weight (thousands of short tons),223
Spokane International,2013,Spokane,GEG,All-cargo operations landed weight (thousands of short tons),227
Greenville Spartanburg International,2013,Greer,GSP,All-cargo operations landed weight (thousands of short tons),107
Huntsville International-Carl T Jones Field,2013,Huntsville,HSV,All-cargo operations landed weight (thousands of short tons),199
Columbia Metropolitan,2013,Columbia,CAE,All-cargo operations landed weight (thousands of short tons),196
Eppley Airfield,2013,Omaha,OMA,All-cargo operations landed weight (thousands of short tons),202
Harrisburg International,2013,Harrisburg,MDT,All-cargo operations landed weight (thousands of short tons),187
Tulsa International,2013,Tulsa,TUL,All-cargo operations landed weight (thousands of short tons),159
Cleveland-Hopkins International,2013,Cleveland,CLE,All-cargo operations landed weight (thousands of short tons),181
McCarran International,2013,Las Vegas,LAS,All-cargo operations landed weight (thousands of short tons),192
Louis Armstrong New Orleans International,2013,Metairie,MSY,All-cargo operations landed weight (thousands of short tons),148
Lubbock Preston Smith International,2013,Lubbock,LBB,All-cargo operations landed weight (thousands of short tons),167
St Louis Lambert International,2013,St. Louis,STL,All-cargo operations landed weight (thousands of short tons),214
Valley International,2013,Harlingen,HRL,All-cargo operations landed weight (thousands of short tons),121
Joe Foss Field,2013,Sioux Falls,FSD,All-cargo operations landed weight (thousands of short tons),169
The Eastern Iowa,2013,Cedar Rapids,CID,All-cargo operations landed weight (thousands of short tons),107
Syracuse Hancock International,2013,Syracuse,SYR,All-cargo operations landed weight (thousands of short tons),163
Charleston AFB/International,2013,Charleston,CHS,All-cargo operations landed weight (thousands of short tons),131
Boise Air Terminal/Gowen Field,2013,Boise,BOI,All-cargo operations landed weight (thousands of short tons),164
Buffalo Niagara International,2013,Buffalo,BUF,All-cargo operations landed weight (thousands of short tons),146
Nashville International,2013,Nashville,BNA,All-cargo operations landed weight (thousands of short tons),148
Shreveport Regional,2013,Shreveport,SHV,All-cargo operations landed weight (thousands of short tons),116
Ellison Onizuka Kona International at Keahole,2013,Kailua Kona,KOA,All-cargo operations landed weight (thousands of short tons),100
McGhee Tyson,2013,Alcoa,TYS,All-cargo operations landed weight (thousands of short tons),152
Greater Rochester International,2013,Rochester,ROC,All-cargo operations landed weight (thousands of short tons),147
Stockton Metropolitan,2013,Stockton,SCK,All-cargo operations landed weight (thousands of short tons),0
Des Moines International,2013,Des Moines,DSM,All-cargo operations landed weight (thousands of short tons),208
Will Rogers World,2013,Oklahoma City,OKC,All-cargo operations landed weight (thousands of short tons),107
Kahului,2013,Kahului,OGG,All-cargo operations landed weight (thousands of short tons),120
Norman Y Mineta San Jose International,2013,San Jose,SJC,All-cargo operations landed weight (thousands of short tons),123
Theodore Francis Green State,2013,Warwick,PVD,All-cargo operations landed weight (thousands of short tons),53
Wichita Dwight D Eisenhower National,2013,Wichita,ICT,All-cargo operations landed weight (thousands of short tons),102
Snohomish County (Paine Field),2013,Everett,PAE,All-cargo operations landed weight (thousands of short tons),84
Gerald R Ford International,2013,Grand Rapids,GRR,All-cargo operations landed weight (thousands of short tons),122
Willow Run,2013,Detroit,YIP,All-cargo operations landed weight (thousands of short tons),81
Norfolk International,2013,Norfolk,ORF,All-cargo operations landed weight (thousands of short tons),105
Capital Region International,2013,Clinton (Township of),LAN,All-cargo operations landed weight (thousands of short tons),65
Fort Wayne International,2013,Fort Wayne,FWA,All-cargo operations landed weight (thousands of short tons),109
Hilo International,2013,Hilo,ITO,All-cargo operations landed weight (thousands of short tons),106
Guam International,2013,Tamuning,GUM,All-cargo operations landed weight (thousands of short tons),42
Great Falls International,2013,Great Falls,GTF,All-cargo operations landed weight (thousands of short tons),88
Southwest Georgia Regional,2013,Albany,ABY,All-cargo operations landed weight (thousands of short tons),81
Southwest Florida International,2013,Fort Myers,RSW,All-cargo operations landed weight (thousands of short tons),57
Birmingham-Shuttlesworth International,2013,Birmingham,BHM,All-cargo operations landed weight (thousands of short tons),88
New York Stewart International,2013,Newburgh,SWF,All-cargo operations landed weight (thousands of short tons),70
Albany International,2013,Albany,ALB,All-cargo operations landed weight (thousands of short tons),81
Long Beach /Daugherty Field/,2013,Long Beach,LGB,All-cargo operations landed weight (thousands of short tons),81
Mobile Downtown,2013,Mobile,BFM,All-cargo operations landed weight (thousands of short tons),71
Tucson International,2013,Tucson,TUS,All-cargo operations landed weight (thousands of short tons),80
Springfield-Branson National,2013,Springfield,SGF,All-cargo operations landed weight (thousands of short tons),104
Roanoke-Blacksburg Regional/Woodrum Field,2013,Roanoke,ROA,All-cargo operations landed weight (thousands of short tons),63
Bill and Hillary Clinton National/Adams Field,2013,Little Rock,LIT,All-cargo operations landed weight (thousands of short tons),74
Lihue,2013,Lihue,LIH,All-cargo operations landed weight (thousands of short tons),48
Toledo Express,2013,Toledo,TOL,All-cargo operations landed weight (thousands of short tons),65
Fresno Yosemite International,2013,Fresno,FAT,All-cargo operations landed weight (thousands of short tons),53
General Downing - Peoria International,2013,Peoria,PIA,All-cargo operations landed weight (thousands of short tons),100
Lafayette Regional/Paul Fournet Field,2013,Lafayette,LFT,All-cargo operations landed weight (thousands of short tons),0
Fairbanks International,2013,Fairbanks,FAI,All-cargo operations landed weight (thousands of short tons),61
City of Colorado Springs Municipal,2013,Colorado Springs,COS,All-cargo operations landed weight (thousands of short tons),53
Bishop International,2013,Flint,FNT,All-cargo operations landed weight (thousands of short tons),38
Jackson-Medgar Wiley Evers International,2013,Jackson,JAN,All-cargo operations landed weight (thousands of short tons),37
James M Cox Dayton International,2013,Dayton,DAY,All-cargo operations landed weight (thousands of short tons),26
March ARB,2013,Riverside,RIV,All-cargo operations landed weight (thousands of short tons),7
Lovell Field,2013,Chattanooga,CHA,All-cargo operations landed weight (thousands of short tons),27
Bangor International,2013,Bangor,BGR,All-cargo operations landed weight (thousands of short tons),13
Brownsville/South Padre Island International,2013,Brownsville,BRO,All-cargo operations landed weight (thousands of short tons),7
Grand Forks International,2013,Grand Forks,GFK,All-cargo operations landed weight (thousands of short tons),92
Gogebic-Iron County,2013,Ironwood,IWD,All-cargo operations landed weight (thousands of short tons),2
Gallup Municipal,2013,Gallup,GUP,All-cargo operations landed weight (thousands of short tons),2
Chico Municipal,2013,Chico,CIC,All-cargo operations landed weight (thousands of short tons),0
Portsmouth International at Pease,2013,Portsmouth,PSM,All-cargo operations landed weight (thousands of short tons),4
Niagara Falls International,2013,Niagara Falls,IAG,All-cargo operations landed weight (thousands of short tons),0
Tucumcari Municipal,2013,Tucumcari,TCC,All-cargo operations landed weight (thousands of short tons),0
